SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ITETF,EQ,42.99,43.19,42.43,42.97,42.92,42.57,314094,13475521.38,07-Oct-2024,9083,INF769K01KV5
SGBMAY26,GB,8000.08,8100,8000.08,8000.08,8000.08,8000.08,57,457583.77,07-Oct-2024,18,IN0020180033
891NTPC33,N6,1332.3,1332.3,1314.5,1317.17,1314.5,1328,1472,1944728.20,07-Oct-2024,17,INE733E07JJ9
AARTIDRUGS,EQ,516.05,518.9,499.45,509.4,510.5,516.35,196802,99616897.70,07-Oct-2024,12404,INE767A01016
RAJMET,EQ,10.24,10.3,9.71,9.86,9.88,10.18,1925695,19123162.67,07-Oct-2024,7136,INE00KV01022
REPRO,EQ,587.1,587.1,554.75,561.6,555,578.4,16910,9602397.75,07-Oct-2024,781,INE461B01014
STARHEALTH,EQ,581,583.1,565.5,571.7,572.1,580.15,755817,431665978.70,07-Oct-2024,43024,INE575P01011
10IIFL29,N6,965,977,965,970,970,970,281,273492.00,07-Oct-2024,9,INE866I08279
VISHWARAJ,EQ,19.15,19.28,17.5,17.74,17.97,19,4165175,75792867.97,07-Oct-2024,8456,INE430N01022
SGBFEB27,GB,7999,8400,7999,8400,8400,7900,8,64993.98,07-Oct-2024,3,IN0020180561
SGBMAR28X,GB,8099.99,8099.99,8099.99,8099.99,8099.99,8138.95,22,178199.78,07-Oct-2024,7,IN0020190552
BANCOINDIA,EQ,752.1,755,695,698.6,700,746.7,234501,167747214.60,07-Oct-2024,20304,INE213C01025
CASTROLIND,EQ,230.4,232.47,219.51,220.78,220.9,228.47,3360226,751869900.19,07-Oct-2024,60019,INE172A01027
ORISSAMINE,EQ,9281.5,9345,8670,8768.65,8799,9145.2,37457,333972513.95,07-Oct-2024,7728,INE725E01024
RKSWAMY,EQ,239.75,241.87,223.1,226.12,225,238.01,134806,30951074.50,07-Oct-2024,3694,INE0NQ801033
SARTELE,SM,328.85,332,312.4,312.4,312.4,328.85,94000,29835775.00,07-Oct-2024,148,INE0PUC01020
10SCL30A,BV,930,930,900,925,925,945,20,18440.00,07-Oct-2024,3,INE148I07PO8
HRHNEXT,ST,105.55,106.15,105.55,105.65,105.65,111.1,33000,3485850.00,07-Oct-2024,10,INE0R3501012
SURAJEST,BE,751.2,768,714.4,714.4,714.4,752,35291,25516715.90,07-Oct-2024,766,INE843S01025
DBREALTY,EQ,183.45,184.78,166,170.49,171.5,183.25,3319597,570763513.82,07-Oct-2024,19984,INE879I01012
JBCHEPHARM,EQ,1719.3,1730.25,1666,1702.2,1700,1715.15,459960,776024142.50,07-Oct-2024,34581,INE572A01036
BETA,SM,1614.55,1621,1579,1590,1600,1621.15,4500,7232405.00,07-Oct-2024,39,INE351Y01019
POWERMECH,EQ,6337.25,6497.85,6195,6235.85,6285,6243.5,140845,891630737.30,07-Oct-2024,24318,INE211R01019
RMDRIP,SM,242.25,245.8,235,240.2,245.8,247,25000,5947000.00,07-Oct-2024,24,INE219Y01018
773UP34,SG,98,98,98,98,98,98,100,9800.00,07-Oct-2024,1,IN3320230151
SHREEOSFM,SM,152.1,169.95,152.1,156.2,158.5,170.05,17000,2716850.00,07-Oct-2024,17,INE02S501018
TECILCHEM,BE,28.49,28.65,25.92,27,27,27.29,4704,129237.36,07-Oct-2024,63,INE014B01011
TIINDIA,EQ,4127.65,4127.65,3927,4022.6,4021,4078.4,279013,1117057535.10,07-Oct-2024,30264,INE974X01010
MADHAVBAUG,SM,136,136.05,132.5,132.5,132.5,136,2800,377020.00,07-Oct-2024,7,INE0JR301013
JAIBALAJI,EQ,1062,1099.8,1011,1017.05,1027.35,1061.15,115800,119410711.45,07-Oct-2024,6197,INE091G01018
STEL,BE,530.3,530.3,530.3,530.3,530.3,541.1,1099,582799.70,07-Oct-2024,16,INE577L01016
SUMMITSEC,EQ,2652.4,2677.45,2462.35,2497.7,2500,2652.4,17243,43704301.05,07-Oct-2024,2954,INE519C01017
TECHLABS,ST,880,880,836,836,836,880,10500,8823275.00,07-Oct-2024,21,INE0QD201012
INOXINDIA,EQ,1142.15,1149.85,1085,1112.1,1115.55,1142.25,415417,458974787.10,07-Oct-2024,28142,INE616N01034
NAGREEKCAP,BE,29.8,29.8,27.04,27.04,27.04,28.45,2241,63535.60,07-Oct-2024,21,INE245I01016
TOP100CASE,EQ,11,11,10.56,10.8,10.8,10.85,741361,7935178.03,07-Oct-2024,1880,INF0R8F01067
DRSDILIP,SM,84,87.9,80.2,83.5,87.9,83.75,84800,7140520.00,07-Oct-2024,34,INE02CV01017
710GS2029,GS,105.04,105.04,104.26,104.26,104.26,104.99,6702,701100.71,07-Oct-2024,37,IN0020220011
HITECH,EQ,189.76,204.76,189.76,198.73,200,189.75,7331781,1454847950.47,07-Oct-2024,61001,INE106T01025
VSCL,SM,50.2,50.2,45.5,45.5,45.5,47.9,39000,1806150.00,07-Oct-2024,13,INE551Q01028
MILTON,SM,40,40,40,40,40,42.1,13200,528000.00,07-Oct-2024,3,INE376Y01016
OLAELEC,EQ,99.9,100,89.55,90.82,90.75,99.05,90107948,8292076028.41,07-Oct-2024,328335,INE0LXG01040
DIVISLAB,EQ,5448,5521,5376.7,5404.35,5403,5425.55,383652,2087560272.30,07-Oct-2024,42908,INE361B01024
GENUSPOWER,EQ,384.35,385.25,362.45,362.45,362.45,381.5,953861,349074309.90,07-Oct-2024,19764,INE955D01029
HATSUN,EQ,1142,1144.95,1101.8,1114.35,1119.95,1136.3,17648,19787664.15,07-Oct-2024,2350,INE473B01035
