SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
CPS,ST,393.9,399.5,380.7,396.15,399,382.9,5400,2121960.00,11-Oct-2024,9,INE0QBU01012
EXCEL,EQ,0.75,0.76,0.74,0.75,0.75,0.73,7857406,5904647.95,11-Oct-2024,4147,INE688J01023
HUBTOWN,BE,288,288,274.95,275.75,278,288.15,263183,73392379.80,11-Oct-2024,1486,INE703H01016
ICRA,EQ,6930.05,6991.85,6870.2,6911.35,6920,6949.7,1278,8837750.45,11-Oct-2024,491,INE725G01011
ORBTEXP,EQ,181,188.49,180.01,180.9,180.06,180.05,13469,2472351.63,11-Oct-2024,465,INE231G01010
SSDL,EQ,148,148,144.4,144.75,145,147.56,72787,10587144.39,11-Oct-2024,1845,INE0PQ101010
TARIL,BE,780.3,780.3,780.3,780.3,780.3,743.15,395734,308791240.20,11-Oct-2024,3044,INE763I01026
ZOTA,EQ,608.4,624.9,604.75,616.9,616.4,614.7,17929,11053707.95,11-Oct-2024,821,INE358U01012
ABB,EQ,8505.35,8608,8421.35,8553.7,8543.75,8510.3,226675,1934821625.00,11-Oct-2024,34464,INE117A01022
BANARISUG,EQ,3938,3949,3777,3817.75,3815.6,3888.15,3659,14203401.05,11-Oct-2024,982,INE459A01010
RTNPOWER,EQ,16.6,16.9,16.25,16.44,16.48,16.51,17228513,283966112.51,11-Oct-2024,26101,INE399K01017
RAYMONDLSL,EQ,2159.9,2177.8,2102.5,2137.65,2140,2149.55,53656,114798564.75,11-Oct-2024,6025,INE02ID01020
SARVESHWAR,EQ,9.66,9.69,9.51,9.55,9.59,9.61,2132686,20404787.50,11-Oct-2024,4723,INE324X01026
SUDARSCHEM,EQ,1010,1217.5,996.55,1201.1,1164.9,1014.6,3354412,3914930620.65,11-Oct-2024,77375,INE659A01023
ZENITHSTL,BE,9.64,9.64,9.55,9.56,9.56,9.65,45465,434807.37,11-Oct-2024,122,INE318D01020
CAPTRUST,BE,134.73,137,130,133.73,134.55,134.74,4445,586988.09,11-Oct-2024,68,INE707C01018
GLOBALVECT,BE,293.9,293.9,290,290,290,294.4,7603,2220948.50,11-Oct-2024,152,INE792H01019
HDIL,BZ,4.39,4.42,4.21,4.37,4.36,4.21,233852,1020435.10,11-Oct-2024,365,INE191I01012
JLHL,EQ,1364.05,1398.95,1358,1371.65,1367.95,1386.45,23892,32832950.65,11-Oct-2024,3716,INE682M01012
OLAELEC,EQ,91,92.25,89.66,90.2,90.28,90.79,34321755,3108297569.40,11-Oct-2024,113304,INE0LXG01040
DIVISLAB,EQ,5975,6159.85,5958.9,6142.25,6150,5942.15,1089288,6633746603.45,11-Oct-2024,80875,INE361B01024
GENUSPOWER,EQ,408.75,408.75,396.8,400.1,400.5,403.6,333067,133453788.35,11-Oct-2024,8805,INE955D01029
HATSUN,EQ,1122.6,1157.8,1122.6,1145.25,1154,1135.3,7635,8707247.85,11-Oct-2024,1159,INE473B01035
OWAIS,SM,1282,1326.95,1280,1288.5,1287,1307.5,28800,37197440.00,11-Oct-2024,18,INE0R8M01017
SBCL,EQ,723,729.8,690,694.9,692.6,714.85,325423,231567190.10,11-Oct-2024,13314,INE386D01027
CHAMBLFERT,EQ,497.75,499.7,492.05,497.5,497.5,497.75,1041811,516346784.50,11-Oct-2024,17188,INE085A01013
